number,name,status
1,PEP Purpose and Guidelines,
8,Style Guide for Python Code,
4,Deprecation of Standard Modules,
10,Voting Guidelines,
7,Style Guide for C Code,
13,Python Language Governance,
12,Sample reStructuredText PEP Template,
2,Procedure for Adding New Modules,
11,CPython platform support,
290,Code Migration and Modernization,
247,API for Cryptographic Hash Functions,
257,Docstring Conventions,
272,API for Block Encryption Algorithms v1.0,
249,Python Database API Specification v2.0,
248,Python Database API Specification v1.0,
218,Adding a Built-In Set Object Type,
287,reStructuredText Docstring Format,
425,Compatibility Tags for Built Distributions,
639,Improving License Clarity with Better Package Metadata,
644,Require OpenSSL 1.1.1 or newer,
613,Explicit Type Aliases,
643,Metadata for Package Source Distributions,
646,Variadic Generics,
634,Structural Pattern Matching: Specification,
632,Deprecate distutils module,
673,Self Type,
283,Python 2.3 Release Schedule,
251,Python 2.2 Release Schedule,
160,Python 1.6 Release Schedule,
200,Python 2.0 Release Schedule,
429,Python 3.4 Release Schedule,
438,Transitioning to release-file hosting on PyPI,
226,Python 2.1 Release Schedule,
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,
359,The “make” Statement,
369,Post import hooks,
379,Adding an Assignment Expression,
381,Mirroring infrastructure for PyPI,
382,Namespace Packages,
367,New Super,
365,Adding the pkg_resources module,
377,Allow __enter__() methods to skip the statement body,
8012,The Community Governance Model,
8015,Organization of the Python community,
8014,The Commons Governance Model,
8013,The External Council Governance Model,
8010,The Technical Leader Governance Model,
8011,Python Governance Model Lead by Trio of Pythonistas,
3153,Asynchronous IO support,
3152,Cofunctions,
3146,Merging Unladen Swallow into CPython,
3145,Asynchronous I/O For subprocess.Popen,
3142,Add a “while” clause to generator expressions,
3140,"str(container) should call str(item), not repr(item)",
3139,Cleaning out sys and the “interpreter” module,
3133,Introducing Roles,
3136,Labeled break and continue,
3130,Access to Current Module/Class/Function,
3128,BList: A Faster List-like Type,
3126,Remove Implicit String Concatenation,
3125,Remove Backslash Continuation,
3122,Delineation of the main module,
3117,Postfix type declarations,
3103,A Switch/Case Statement,
760,No More Bare Excepts,
2026,Calendar versioning for Python,
3001,Procedure for reviewing and improving standard library modules,
759,External Wheel Hosting,
756,Add PyUnicode_Export() and PyUnicode_Import() C functions,
754,IEEE 754 Floating Point Special Values,
736,Shorthand syntax for keyword arguments at invocation,
722,Dependency specification for single-file scripts,
724,Stricter Type Guards,
713,Callable Modules,
712,Adding a “converter” parameter to dataclasses.field,
707,A simplified signature for __exit__ and __aexit__,
704,Require virtual environments by default for package installers,
726,Module,
677,Callable Type Syntax,
666,Reject Foolish Indentation,
690,Lazy Imports,
665,A file format to list Python dependencies for reproducibility of an application,
663,"Standardizing Enum str(), repr(), and format() behaviors",
662,Editable installs via virtual wheels,
651,Robust Stack Overflow Handling,
650,Specifying Installer Requirements for Python Projects,
648,Extensible customizations of the interpreter at startup,
642,Explicit Pattern Syntax for Structural Pattern Matching,
645,Allow writing optional types as,
640,Unused variable syntax,
641,Using an underscore in the version portion of Python 3.10 compatibility tags,
637,Support for indexing with keyword arguments,
633,Dependency specification in pyproject.toml using an exploded TOML table,
631,Dependency specification in pyproject.toml based on PEP 508,
620,Hide implementation details from the C API,
622,Structural Pattern Matching,
611,The one million limit,
606,Python Compatibility Version,
608,Coordinated Python release,
601,Forbid return/break/continue breaking out of finally,
605,A rolling feature release stream for CPython,
599,The manylinux2014 Platform Tag,
598,Introducing incremental feature releases,
583,A Concurrency Memory Model for Python,
595,Improving bugs.python.org,
582,Python local packages directory,
580,The C call protocol,
577,Augmented Assignment Expressions,
576,Rationalize Built-in function classes,
575,Unifying function/method classes,
559,Built-in noop(),
571,The manylinux2010 Platform Tag,
558,Defined semantics for locals(),
551,Security transparency in the Python runtime,
555,Context-local variables (contextvars),
554,Multiple Interpreters in the Stdlib,
549,Instance Descriptors,
550,Execution Context,
548,More Flexible Loop Control,
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,
543,A Unified TLS API for Python,
542,Dot Notation Assignment In Function Header,
536,Final Grammar for Literal String Interpolation,
531,Existence checking operators,
522,Allow BlockingIOError in security sensitive APIs,
521,Managing global context via ‘with’ blocks in generators and coroutines,
516,Build system abstraction for pip/conda etc,
513,A Platform Tag for Portable Linux Built Distributions,
511,API for code transformers,
504,Using the System RNG by default,
502,String Interpolation - Extended Discussion,
501,General purpose template literal strings,
507,Migrate CPython to Git and GitLab,
510,Specialize functions with guards,
509,Add a private version to dict,
497,A standard mechanism for backward compatibility,
500,A protocol for delegating datetime methods to their tzinfo implementations,
496,Environment Markers,
472,Support for indexing with keyword arguments,
473,Adding structured data to built-in exceptions,
490,Chain exceptions at C level,
474,Creating forge.python.org,
481,"Migrate CPython to Git, Github, and Phabricator",
463,Exception-catching expressions,
469,Migration of dict iteration code to Python 3,
460,Add binary interpolation and formatting,
462,Core development workflow automation for CPython,
459,Standard Metadata Extensions for Python Software Packages,
437,"A DSL for specifying signatures, annotations and argument converters",
455,Adding a key-transforming dictionary to collections,
439,Inclusion of implicit pip bootstrap in Python installation,
432,Restructuring the CPython startup sequence,
433,Easier suppression of file descriptor inheritance,
426,Metadata for Python Software Packages 2.0,
422,Simpler customisation of class creation,
411,Provisional packages in the Python standard library,
416,Add a frozendict builtin type,
413,Faster evolution of the Python Standard Library,
431,Time zone support improvements,
408,Standard library __preview__ package,
410,Use decimal.Decimal type for timestamps,
406,Improved Encapsulation of Import State,
402,Simplified Package Layout and Partitioning,
390,Static metadata for Distutils,
401,BDFL Retirement,
395,Qualified Names for Modules,
396,Module Version Numbers,
386,Changing the version comparison module in Distutils,
364,Transitioning to the Py3K Standard Library,
363,Syntax For Dynamic Attribute Access,
355,Path - Object oriented filesystem paths,
354,Enumerations in Python,
349,Allow str() to return unicode strings,
351,The freeze protocol,
346,User Defined (”,
348,Exception Reorganization for Python 3.0,
350,Codetags,
345,Metadata for Python Software Packages 1.2,
340,Anonymous Block Statements,
344,Exception Chaining and Embedded Tracebacks,
339,Design of the CPython Compiler,
336,Make None Callable,
334,Simple Coroutines via SuspendIteration,
335,Overloadable Boolean Operators,
332,Byte vectors and String/Unicode Unification,
330,Python Bytecode Verification,
329,Treating Builtins as Constants in the Standard Library,
326,A Case for Top and Bottom Values,
325,Resource-Release Support for Generators,
321,Date/Time Parsing and Formatting,
319,Python Synchronize/Asynchronize Block,
317,Eliminate Implicit Exception Instantiation,
315,Enhanced While Loop,
314,Metadata for Python Software Packages 1.1,
313,Adding Roman Numeral Literals to Python,
306,How to Change Python’s Grammar,
310,Reliable Acquisition/Release Pairs,
303,Extend divmod() for Multiple Divisors,
299,Special __main__() function in modules,
304,Controlling Generation of Bytecode Files,
297,Support for System Upgrades,
298,The Locked Buffer Interface,
296,Adding a bytes Object Type,
294,Type Names in the types Module,
295,Interpretation of multiline string constants,
281,Loop Counter Iteration with range and xrange,
284,Integer for-loops,
288,Generators Attributes and Exceptions,
276,Simple Iterator for ints,
291,Backward Compatibility for the Python 2 Standard Library,
275,Switching on Multiple Values,
271,Prefixing sys.path by command line option,
270,uniq method for list objects,
254,Making Classes Look More Like Types,
262,A Database of Installed Python Packages,
266,Optimizing Global Variable/Attribute Access,
265,Sorting Dictionaries by Value,
268,Extended HTTP functionality and WebDAV,
258,Docutils Design Specification,
259,Omit printing newline after newline,
256,Docstring Processing System Framework,
243,Module Repository Upload Mechanism,
239,Adding a Rational Type to Python,
245,Python Interface Syntax,
240,Adding a Rational Literal to Python,
241,Metadata for Python Software Packages,
244,The,
246,Object Adaptation,
242,Numeric Kinds,
231,__findattr__(),
228,Reworking Python’s Numeric Model,
220,"Coroutines, Generators, Continuations",
225,Elementwise/Objectwise Operators,
216,Docstring Format,
224,Attribute Docstrings,
215,String Interpolation,
212,Loop Counter Iteration,
211,Adding A New Outer Product Operator,
210,Decoupling the Interpreter Loop,
209,Multi-dimensional Arrays,
42,Feature Requests,
204,Range Literals,
102,Doing Python Micro Releases,
103,Collecting information about git,
206,Python Advanced Library,
3,Guidelines for Handling Bug Reports,
9,Sample Plaintext PEP Template,
3150,Statement local namespaces (aka “given” clause),
734,Multiple Interpreters in the Stdlib,
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",
3143,Standard daemon process library,
674,Disallow using macros as l-values,
661,Sentinel Values,
568,Generator-sensitivity for Context Variables,
556,Threaded garbage collection,
547,Running extension modules using the -m option,
535,Rich comparison chaining,
534,Improved Errors for Missing Standard Library Modules,
533,Deterministic cleanup for iterators,
532,A circuit breaking protocol and binary operators,
505,None-aware operators,
499,,
491,The Wheel Binary Package Format 1.9,
447,Add __getdescriptor__ method to metaclass,
444,Python Web3 Interface,
407,New release cycle and introducing long-term support versions,
423,Naming conventions and recipes related to packaging,
403,General purpose decorator clause (aka “@in” clause),
419,Protecting cleanup statements from interruptions,
400,Deprecate codecs.StreamReader and codecs.StreamWriter,
368,Standard image protocol and class,
337,Logging Usage in the Standard Library,
316,Programming by Contract for Python,
323,Copyable Iterators,
286,Enhanced Argument Tuples,
280,Optimizing access to globals,
312,Simple Implicit Lambda,
269,Pgen Module for Python,
267,Optimized Access to Module Namespaces,
222,Web Library Enhancements,
219,Stackless Python,
213,Attribute Access Handlers,
233,Python Online Help,
8001,Python Governance Voting Process,
3100,Miscellaneous Python 3.0 Plans,
3099,Things that will Not Change in Python 3000,
569,Python 3.8 Release Schedule,
3003,Python Language Moratorium,
494,Python 3.6 Release Schedule,
3002,Procedure for Backwards-Incompatible Changes,
3000,Python 3000,
581,Using GitHub Issues for CPython,
541,Package Index Name Retention,
537,Python 3.7 Release Schedule,
512,Migrating from hg.python.org to GitHub,
478,Python 3.5 Release Schedule,
464,Removal of the PyPI Mirror Authenticity API,
470,Removing External Hosting Support on PyPI,
398,Python 3.3 Release Schedule,
404,Python 2.8 Un-release Schedule,
392,Python 3.2 Release Schedule,
385,Migrating from Subversion to Mercurial,
375,Python 3.1 Release Schedule,
374,Choosing a distributed VCS for the Python project,
373,Python 2.7 Release Schedule,
361,Python 2.6 and 3.0 Release Schedule,
3155,Qualified name for classes and functions,
5,Guidelines for Language Evolution,
347,Migrating the Python CVS to Subversion,
320,Python 2.4 Release Schedule,
360,Externally Maintained Packages,
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,
356,Python 2.5 Release Schedule,
6,Bug Fix Releases,
3154,Pickle protocol version 4,
3151,Reworking the OS and IO exception hierarchy,
3149,ABI version tagged .so files,
3138,String representation in Python 3000,
3147,PYC Repository Directories,
3141,A Type Hierarchy for Numbers,
3144,IP Address Manipulation Library for the Python Standard Library,
3148,futures - execute computations asynchronously,
3135,New Super,
3137,Immutable Bytes and Mutable Buffer,
3134,Exception Chaining and Embedded Tracebacks,
3131,Supporting Non-ASCII Identifiers,
3132,Extended Iterable Unpacking,
